benchmark,#PI,#PO,#AIG,#level,TLG,#level,time(s)
b14.blif,277,299,5609,65,2866,49,0.02
b15.blif,485,519,8158,65,4028,47,0.03
b17.blif,1452,1512,26389,93,13379,66,0.13
b18.blif,3357,3343,77757,132,39733,98,0.31
b19.blif,6666,6669,156224,136,80621,105,0.75
b20.blif,522,512,11552,66,5929,47,0.05
b21.blif,522,512,11728,70,6017,54,0.05
b22.blif,767,757,17614,68,9071,57,0.10
c6288.blif,32,32,2334,120,1407,93,0.01
c7552.blif,207,108,1961,29,991,22,0.01
s13207.blif,700,790,2605,33,1213,21,0.01
s15850.blif,611,684,3330,46,1601,34,0.01
s35932.blif,1763,2048,10124,14,5078,9,0.02
s38417.blif,1664,1742,9062,30,4747,21,0.02
s38584.blif,1464,1730,11646,34,4981,22,0.04
