benchmark,#PI,#PO,#AIG,#level,TLG,#level,time(s)
b14.blif,277,299,5609,65,2565,53,0.23
b15.blif,485,519,8158,65,3667,44,0.24
b17.blif,1452,1512,26389,93,12027,73,0.83
b18.blif,3357,3343,77757,132,35343,87,4.58
b19.blif,6666,6669,156224,136,70765,85,7.21
b20.blif,522,512,11552,66,5284,58,0.48
b21.blif,522,512,11728,70,5381,59,0.43
b22.blif,767,757,17614,68,8028,60,0.61
c6288.blif,32,32,2334,120,1404,95,0.12
c7552.blif,207,108,1961,29,846,19,0.07
s13207.blif,700,790,2605,33,1190,20,0.06
s15850.blif,611,684,3330,46,1479,32,0.07
s35932.blif,1763,2048,10124,14,4758,8,0.13
s38417.blif,1664,1742,9062,30,4388,19,0.25
s38584.blif,1464,1730,11646,34,4639,20,0.23
