benchmark,#PI,#PO,#TLG,#level,time(s),#TLG,#level,time(s)
b14.blif,277,299,2680,13,8.10,2218,13,0.17
b15.blif,485,519,4077,16,11.20,3566,16,0.27
b17.blif,1452,1512,13009,22,32.66,11131,22,0.78
b18.blif,3357,3343,36370,43,82.13,30180,43,3.54
b19.blif,6666,6669,72362,46,153.07,60061,46,5.27
b20.blif,522,512,5660,15,16.18,4630,15,0.41
b21.blif,522,512,5660,16,16.42,4628,16,0.39
b22.blif,767,757,8429,16,21.17,6846,16,0.59
c6288.blif,32,32,1424,29,4.70,1102,29,0.10
c7552.blif,207,108,950,10,3.77,713,10,0.06
s13207.blif,700,790,1257,8,1.88,1049,8,0.05
s15850.blif,611,684,1630,10,2.34,1356,10,0.06
s35932.blif,1763,2048,5878,5,1.64,4299,5,0.10
s38417.blif,1664,1742,4857,8,4.27,4220,8,0.22
s38584.blif,1464,1730,4391,8,4.99,3999,8,0.15
