benchmark,#PI,#PO,#AIG,#level,TLG,#level,time(s)
b14.blif,277,299,5609,65,2980,49,0.01
b15.blif,485,519,8158,65,4196,40,0.02
b17.blif,1452,1512,26389,93,13620,57,0.06
b18.blif,3357,3343,77757,132,40208,97,0.24
b19.blif,6666,6669,156224,136,80170,104,0.48
b20.blif,522,512,11552,66,6323,44,0.03
b21.blif,522,512,11728,70,6343,52,0.03
b22.blif,767,757,17614,68,9528,56,0.04
c6288.blif,32,32,2334,120,1393,103,0.00
c7552.blif,207,108,1961,29,1049,20,0.00
s13207.blif,700,790,2605,33,1483,22,0.00
s15850.blif,611,684,3330,46,1750,29,0.01
s35932.blif,1763,2048,10124,14,5105,9,0.02
s38417.blif,1664,1742,9062,30,4936,18,0.02
s38584.blif,1464,1730,11646,34,5355,20,0.02
