benchmark,#PI,#PO,#TLG,#level,time(s),#TLG,#level,time(s)
b14.blif,277,299,2680,13,9.23,2301,13,0.13
b15.blif,485,519,4077,16,12.66,3647,16,0.19
b17.blif,1452,1512,13009,22,31.92,11456,22,0.44
b18.blif,3357,3343,36370,43,73.11,31177,43,1.30
b19.blif,6666,6669,72362,46,153.07,62106,46,3.42
b20.blif,522,512,5660,15,13.99,4800,15,0.21
b21.blif,522,512,5660,16,14.07,4799,16,0.22
b22.blif,767,757,8429,16,18.98,7126,16,0.33
c6288.blif,32,32,1424,29,4.32,1140,28,0.05
c7552.blif,207,108,950,10,3.46,734,10,0.03
s13207.blif,700,790,1257,8,1.93,1055,8,0.04
s15850.blif,611,684,1630,10,2.73,1376,10,0.05
s35932.blif,1763,2048,5878,5,1.89,4587,5,0.09
s38417.blif,1664,1742,4857,8,4.42,4291,8,0.18
s38584.blif,1464,1730,4391,8,5.61,4022,8,0.13
