benchmark,#PI,#PO,#TLG,#level,time(s),#TLG,#level,time(s)
b14.blif,277,299,2680,13,9.12,2377,13,0.00
b15.blif,485,519,4077,16,12.73,3755,16,0.01
b17.blif,1452,1512,13009,22,31.35,11822,22,0.02
b18.blif,3357,3343,36370,43,74.12,32396,43,0.07
b19.blif,6666,6669,72362,46,166.16,64429,46,0.17
b20.blif,522,512,5660,15,16.02,4931,15,0.01
b21.blif,522,512,5660,16,16.78,5009,16,0.01
b22.blif,767,757,8429,16,19.01,7385,16,0.01
c6288.blif,32,32,1424,29,5.06,1199,29,0.00
c7552.blif,207,108,950,10,3.92,784,10,0.00
s13207.blif,700,790,1257,8,1.86,1105,8,0.00
s15850.blif,611,684,1630,10,2.69,1433,10,0.00
s35932.blif,1763,2048,5878,5,1.77,4726,5,0.01
s38417.blif,1664,1742,4857,8,4.47,4402,8,0.01
s38584.blif,1464,1730,4391,8,5.52,4068,8,0.01
